Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Max,Fwd Header Length,Bwd Header Length,Packet Length Mean,Average Packet Size,Label
443,9.394474451432904,21,37,15697.5,9509.0,1495,0.0,747.5,474.0,40.0,257.0,2683.119756225996,6.1738419003474405,0.16197369743849835,8.680618395537737,420,740,434.5948275862069,478.0543103448276,BENIGN
80,0.004989968378002012,1,0,81.5,0.0,122,41.0,81.5,0.0,0.0,0.0,16332.768832621878,200.40207156591262,0.004989968378002012,0.002990627890995492,20,0,81.5,89.65,BENIGN
121,0.00012854578530608325,2,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23337.988039488286,4.284859510202775e-05,0.00012854578530608325,40,20,0.0,0.0,PortScan
443,2.5173617983071455,23,5,5117.5,2580.0,405,40.0,222.5,992.0,40.0,516.0,3057.764682524519,11.122755584369798,0.08990577851096948,2.1853731036023514,460,100,274.9107142857143,302.4017857142857,BENIGN
3306,4.431204027572009,42,25,9828.0,12900.0,414,54.0,234.0,1032.0,0.0,516.0,5129.080010439818,15.120044029367643,0.06613737354585088,2.6294856172588283,840,500,339.2238805970149,373.1462686567164,BENIGN
3306,0.9124128223507643,43,43,15523.0,15372.5,668,54.0,361.0,661.0,54.0,357.5,33861.317205516716,94.25558025196024,0.010609451422683306,0.6966621293351717,860,860,359.25,395.175,BENIGN
80,3.433887425915356,44,22,27742.0,10703.0,1221,40.0,630.5,919.0,54.0,486.5,11195.765973531265,19.22019909619101,0.05202859736235388,2.1165845481023684,880,440,582.5,640.75,BENIGN
53,0.1292972735390659,2,2,143.0,185.0,91,52.0,71.5,137.0,48.0,92.5,2536.7897637910983,30.936460534037785,0.03232431838476647,0.10387768892685915,40,40,82.0,90.2,BENIGN
8080,7.920827347450835,4,7,2806.0,4007.5,1363,40.0,701.5,1105.0,40.0,572.5,860.2005448575763,1.388743816457524,0.7200752134046214,6.6016475235274035,80,140,619.4090909090909,681.35,BENIGN
80,0.08127616180788143,3,1,243.0,165.0,109,53.0,81.0,276.0,54.0,165.0,5019.922089387295,49.21492244497348,0.020319040451970357,0.047983816567366507,60,20,102.0,112.2,BENIGN
53,0.00252513622988913,1,0,70.5,0.0,88,53.0,70.5,0.0,0.0,0.0,27919.285765859615,396.0182378136115,0.00252513622988913,0.002072333547177352,20,0,70.5,77.55000000000001,BENIGN
53,0.11800362903269598,1,1,156.5,176.0,254,59.0,156.5,293.0,59.0,176.0,2817.709952868248,16.948631295448106,0.05900181451634799,0.10054521335677141,20,20,166.25,182.87500000000003,BENIGN
53,0.024567856279594326,1,1,125.0,157.0,209,41.0,125.0,253.0,61.0,157.0,11478.412963292396,81.4071841368255,0.012283928139797163,0.017873244053500194,20,20,141.0,155.10000000000002,BENIGN
8080,1.8533068933314716,34,42,22729.0,11382.0,1337,0.0,668.5,502.0,40.0,271.0,18405.47840335427,41.007779269295085,0.024385617017519363,1.2863530546418658,680,840,448.82894736842104,493.7118421052632,BENIGN
443,0.003707694219831346,1,0,118.5,0.0,194,43.0,118.5,0.0,0.0,0.0,31960.564430092156,269.7094044733515,0.003707694219831346,0.002038672892086382,20,0,118.5,130.35000000000002,BENIGN
21,2.968610944738234,14,16,448.0,1184.0,64,0.0,32.0,128.0,20.0,74.0,549.7520659932441,10.10573650722875,0.09895369815794113,0.9887683906808464,280,320,54.4,54.4,FTP-Patator
927,0.0010309575265540513,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1939.944128139738,0.0005154787632770257,0.0010309575265540513,40,0,0.0,0.0,PortScan
53,0.003449859956693575,1,0,71.5,0.0,103,40.0,71.5,0.0,0.0,0.0,20725.478975247228,289.86683881464654,0.003449859956693575,0.0030917158062349773,20,0,71.5,78.65,BENIGN
80,56.232220444533574,1588,2,480010.84622770007,0.0,809,246.0,302.2738326370907,0.0,0.0,0.0,8536.224293351068,28.27560404747571,0.03536617638020979,0.3376004983294148,31760,40,301.8936139796856,301.8936139796856,DoS Hulk
443,27.240351524922275,3578,3,1281365.4975623682,0.0,906,281.0,358.1233922756758,0.0,0.0,0.0,47039.242367707455,131.45939018898977,0.007606911903077988,0.18147192540133852,71560,60,357.8233726786842,357.8233726786842,DoS Hulk
26145,0.007522847437598765,39,0,1600.8623572373617,0.0,98,20.0,41.047752749675944,0.0,0.0,0.0,212800.05616441753,5184.207219872652,0.00019289352404099397,0.006770562693838889,780,0,41.047752749675944,41.047752749675944,DDoS
80,29.704184625918614,2052,5,753690.082045615,0.0,791,358.0,367.29536162067006,0.0,0.0,0.0,25373.195444926532,69.24950224707224,0.014440537008224898,0.13898144521904424,41040,100,366.40256783938503,366.40256783938503,DoS Hulk
418,0.0019086210210524698,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,523.9384817466647,0.0019086210210524698,0.0019086210210524698,20,0,0.0,0.0,PortScan
53,0.014230272957456647,1,2,136.5,277.0,205,68.0,136.5,215.0,62.0,138.5,29057.770095922613,210.81816272737083,0.0047434243191522155,0.00742059683619727,20,40,137.83333333333334,151.6166666666667,BENIGN
32330,0.0026892405146730337,35,2,1541.3832293923022,0.0,78,40.0,44.03952083978006,0.0,0.0,0.0,573166.7439123453,13758.531376468785,7.268217607224415e-05,0.0024203164632057303,700,40,41.65900619979195,41.65900619979195,DDoS
443,0.6406081701723386,40,41,29460.0,25112.5,1419,54.0,736.5,1171.0,54.0,612.5,85188.57944836812,126.4423461508602,0.00790874284163381,0.3676304236314769,800,820,673.7345679012345,741.1080246913581,BENIGN
80,1.1273393871759656,44,34,27324.0,23137.0,1202,40.0,621.0,1361.0,0.0,680.5,44761.14342674304,69.18945695261603,0.014453069066358534,0.5949025306922217,880,680,646.9358974358975,711.6294871794872,BENIGN
53,0.12782518294315479,1,2,104.5,155.0,164,45.0,104.5,91.0,64.0,77.5,2030.116398232752,23.469553736794822,0.04260839431438493,0.08153222053554843,20,40,86.5,95.15,BENIGN
53,0.027541492138468484,1,2,75.0,243.0,108,42.0,75.0,197.0,46.0,121.5,11546.215375739741,108.92656014848812,0.009180497379489495,0.023134087696899824,20,40,106.0,116.60000000000001,BENIGN
53264,0.008388420701318271,22,2,1060.1324535819604,0.0,67,0.0,48.18783879918002,0.0,0.0,0.0,126380.45841160025,2861.0868308295876,0.00034951752922159464,0.007549578631186445,440,40,44.172185565915015,44.172185565915015,DDoS
672,0.0015534610902975961,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1287.4477593879487,0.0007767305451487981,0.0015534610902975961,40,0,0.0,0.0,PortScan
80,14.354736632968725,4024,6,1612771.8000957249,0.0,677,309.0,400.78822069973285,0.0,0.0,0.0,112351.19398788894,280.7435693904855,0.0035619693878334306,0.22627498810056734,80480,120,400.19151367139574,400.19151367139574,DoS Hulk
123,0.08315173560699361,1,2,164.5,328.0,288,41.0,164.5,271.0,57.0,164.0,5922.907037415795,36.078621547710426,0.027717245202331205,0.05583639411157199,20,40,164.16666666666666,180.58333333333334,BENIGN
443,15.712186626152823,31,44,6169.0,24442.0,398,0.0,199.0,1071.0,40.0,555.5,1948.2329689903383,4.773364890865224,0.20949582168203765,13.637540766246019,620,880,408.14666666666665,448.96133333333336,BENIGN
22,1.2307878982177258,29,19,754.0,1406.0,32,20.0,26.0,128.0,20.0,74.0,1754.973381788888,38.99940848419751,0.025641414546202623,0.6439302238375891,580,380,45.0,45.0,SSH-Patator
11668,0.03280827070339143,21,2,870.9332364870352,0.0,65,0.0,41.47301126128739,0.0,0.0,0.0,26546.14881597541,701.0427403484714,0.0014264465523213664,0.029527443633052288,420,40,37.86666245595805,37.86666245595805,DDoS
80,7.013298525226755,37,10,4791.5,4535.0,205,54.0,129.5,867.0,40.0,453.5,1329.8307446136344,6.701554173252648,0.14921911755801606,5.5246273088857025,740,200,198.43617021276594,218.27978723404254,BENIGN
53,0.0040916351573688,1,0,65.5,0.0,84,47.0,65.5,0.0,0.0,0.0,16008.26991674423,244.4010674312096,0.0040916351573688,0.002777285228567644,20,0,65.5,72.05000000000001,BENIGN
11642,0.0016116150931066516,31,0,1084.2036635490317,0.0,70,0.0,34.97431172738812,0.0,0.0,0.0,672743.5528411762,19235.36217338498,5.1987583648601666e-05,0.0014504535837959864,620,0,34.97431172738812,34.97431172738812,DDoS
789,0.0006443698078375593,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3103.807744673513,0.00032218490391877966,0.0006443698078375593,40,0,0.0,0.0,PortScan
53,0.14532123973898867,3,2,270.0,167.0,113,67.0,90.0,117.0,50.0,83.5,3007.1309657479887,34.40653278887859,0.029064247947797734,0.07749038885491107,60,40,87.4,96.14000000000001,BENIGN
53,0.036209115852399755,3,1,423.0,111.0,228,54.0,141.0,163.0,59.0,111.0,14747.667470720891,110.46941925633627,0.009052278963099939,0.032686081997154996,60,20,133.5,146.85000000000002,BENIGN
443,7.265815005224402,37,33,16372.5,12952.5,885,0.0,442.5,745.0,40.0,392.5,4036.023485171889,9.634156656846795,0.10379735721749146,4.363274900058781,740,660,418.92857142857144,460.8214285714286,BENIGN
14051,0.09508224670551431,45,1,2155.7356463185934,4.0,87,20.0,47.905236584857626,40.0,0.0,4.0,22714.394339120503,483.7916813479358,0.0020670053631633547,0.08557402203496288,900,20,46.95077491996942,46.95077491996942,DDoS
80,0.003771667248303837,1,0,109.5,0.0,168,51.0,109.5,0.0,0.0,0.0,29032.253587387233,265.1347359578743,0.003771667248303837,0.001990997222413929,20,0,109.5,120.45,BENIGN
763,0.001017478175201622,2,0,40.0,0.0,40,0.0,20.0,0.0,0.0,0.0,39312.88255109124,1965.6441275545621,0.000508739087600811,0.001017478175201622,40,0,20.0,20.0,PortScan
443,13.354831543000065,45,27,30847.5,10138.5,1331,40.0,685.5,711.0,40.0,375.5,3069.001646934499,5.3913072409916545,0.18548377143055647,10.595454283730607,900,540,569.25,626.1750000000001,BENIGN
21,0.9114092498562438,29,18,754.0,756.0,32,20.0,26.0,64.0,20.0,42.0,1656.774934244053,51.56849133077516,0.019391686167154126,0.7556708939105707,580,360,32.12765957446808,32.12765957446808,FTP-Patator
64592,0.09320257407506882,44,1,1614.7234826883255,0.0,43,20.0,36.69826097018922,0.0,0.0,0.0,17324.88076335496,482.81928312146533,0.002071168312779307,0.08388231666756195,880,20,35.88274405974057,35.88274405974057,DDoS
21,1.921900727495957,14,16,448.0,1184.0,64,0.0,32.0,128.0,20.0,74.0,849.1593642957467,15.609547137789463,0.06406335758319856,0.20491598699427271,280,320,54.4,54.4,FTP-Patator
80,52.78348568480701,3888,7,1594569.7578835133,0.0,841,370.0,410.1259665338255,0.0,0.0,0.0,30209.633509339987,73.79201940657589,0.013551600946035176,0.3355772496792194,77760,140,409.3888980445477,409.3888980445477,DoS Hulk
30280,0.06351796261383245,9,0,300.6104967558934,0.0,84,20.0,33.40116630621038,0.0,0.0,0.0,4732.6848089177965,141.6922021683367,0.0070575514015369396,0.05716616635244921,180,0,33.40116630621038,33.40116630621038,DDoS
53602,0.08364007729091424,22,2,952.9607482368307,8.0,85,0.0,43.31639764712867,40.0,0.0,4.0,11489.237927105778,286.9437807490776,0.0034850032204547603,0.07527606956182283,440,40,40.04003117653461,40.04003117653461,DDoS
53,0.07095751494456201,3,1,295.5,91.0,146,51.0,98.5,134.0,48.0,91.0,5446.921306389695,56.371759962635906,0.017739378736140503,0.037287852099777204,60,20,96.625,106.28750000000001,BENIGN
53,0.001864382824491469,1,0,115.5,0.0,186,45.0,115.5,0.0,0.0,0.0,61950.79598606788,536.3705280179038,0.001864382824491469,0.0016383467463818352,20,0,115.5,127.05000000000001,BENIGN
80,36.79436505051761,2233,7,974180.5673251305,0.0,1045,272.0,436.26536826024653,0.0,0.0,0.0,26476.352180221304,60.87888721342369,0.016426055826123935,0.4074316159501009,44660,140,434.90203898443326,434.90203898443326,DoS Hulk
443,4.534588519523206,19,37,8645.0,24882.5,870,40.0,455.0,1305.0,40.0,672.5,7393.724889403037,12.349521849424207,0.08097479499148583,3.327456645590196,380,740,598.7053571428571,658.5758928571429,BENIGN
443,10.918096070359942,2831,7,1352748.7572465478,0.0,791,396.0,477.83424840923624,0.0,0.0,0.0,123899.69354812164,259.9354302903142,0.003847109256645505,0.3485907546135081,56620,140,476.65565794452004,476.65565794452004,DoS Hulk
53,0.0003380699011857397,1,0,81.0,0.0,104,58.0,81.0,0.0,0.0,0.0,239595.42010661756,2957.9681494644146,0.0003380699011857397,0.0002619267740314035,20,0,81.0,89.10000000000001,BENIGN
80,5.122317920515457,25,6,13512.5,486.0,1081,0.0,540.5,162.0,0.0,81.0,2732.8448208836157,6.05194766920685,0.16523606195211152,2.942033394503907,500,120,451.56451612903226,496.7209677419355,BENIGN
123,0.004107441094716259,1,0,104.5,0.0,168,41.0,104.5,0.0,0.0,0.0,25441.63083298431,243.46058213382113,0.004107441094716259,0.0023011005804303027,20,0,104.5,114.95,BENIGN
53,0.013057743647240976,2,2,219.0,327.0,172,47.0,109.5,279.0,48.0,163.5,41814.26858654608,306.3316379966746,0.003264435911810244,0.012187753268685283,40,40,136.5,150.15,BENIGN
671,0.0005256682992935837,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1902.340318683558,0.0005256682992935837,0.0005256682992935837,20,0,0.0,0.0,PortScan
443,1.4062020382241047,6,12,3921.0,2130.0,1267,40.0,653.5,315.0,40.0,177.5,4303.08009483603,12.800436573632219,0.0781223354568947,0.8060119573250966,120,240,336.1666666666667,369.78333333333336,BENIGN
53,0.11998938262266971,1,2,158.0,230.0,263,53.0,158.0,186.0,44.0,115.0,3233.619437980963,25.002212149337346,0.03999646087422324,0.09355640706629204,20,40,129.33333333333334,142.26666666666668,BENIGN
80,2.4785395977811593,49,36,16366.0,17766.0,614,54.0,334.0,933.0,54.0,493.5,13771.01258763656,34.29438854884295,0.029159289385660696,2.0520521050644263,980,720,401.5529411764706,441.7082352941177,BENIGN
35183,0.056121003488517465,36,2,786.5904773701931,0.0,75,0.0,21.849735482505363,0.0,0.0,0.0,14015.973137955953,677.1083487089628,0.0014768685128557228,0.05050890313966572,720,40,20.699749404478766,20.699749404478766,DDoS
38974,0.023345795816290784,43,1,1557.0757055166523,0.0,41,20.0,36.211062918991914,0.0,0.0,0.0,66696.19308629946,1884.7076512721248,0.0005305862685520633,0.021011216234661706,860,20,35.38808421628755,35.38808421628755,DDoS
17680,0.05181053140784442,29,2,875.2026850436686,0.0,54,40.0,30.179402932540295,0.0,0.0,0.0,16892.370359111155,598.3339517592058,0.0016713074647691747,0.04662947826705998,580,40,28.232344678828017,28.232344678828017,DDoS
80,4.151249596617667,21,23,9817.5,17514.5,895,40.0,467.5,1469.0,54.0,761.5,6584.041591300465,10.599218133221882,0.09434658174131062,2.6888058360575147,420,460,621.1818181818181,683.3,BENIGN
22,2.817908372597595,13,11,962.0,176.0,128,20.0,74.0,32.0,0.0,16.0,403.8456363827659,8.516955424592602,0.11741284885823312,0.32714166537453215,260,220,47.416666666666664,47.416666666666664,SSH-Patator
443,0.0037769931195913565,1,0,80.5,0.0,118,43.0,80.5,0.0,0.0,0.0,21313.25036904211,264.7608741495915,0.0037769931195913565,0.0028786651797207408,20,0,80.5,88.55000000000001,BENIGN
80,2.091130142218205,9,43,2902.5,25929.0,645,0.0,322.5,1166.0,40.0,603.0,13787.520641549576,24.866936280130343,0.040214041196503944,1.6734037209002148,180,860,554.4519230769231,609.8971153846154,BENIGN
443,5.813879557596784,25,14,14212.5,8533.0,1137,0.0,568.5,1165.0,54.0,609.5,3912.2757488636457,6.708085300638904,0.14907383481017394,4.22842241698587,500,280,583.2179487179487,641.5397435897437,BENIGN
53,0.0014391791063349288,1,0,78.5,0.0,116,41.0,78.5,0.0,0.0,0.0,54544.983077131554,694.8405487532682,0.0014391791063349288,0.000846843585731396,20,0,78.5,86.35000000000001,BENIGN
141,0.0015605110116177435,2,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1922.447184073359,0.0005201703372059145,0.0015605110116177435,40,20,0.0,0.0,PortScan
443,3.6194338200091685,37,43,24179.5,25434.5,1253,54.0,653.5,1129.0,54.0,591.5,13707.66878668176,22.102904481286345,0.04524292275011461,2.1670590879289833,740,860,620.175,682.1925,BENIGN
80,16.699436336002492,3769,9,1859664.860152616,0.0,611,307.0,493.4106819189748,0.0,0.0,0.0,111360.93594628369,226.2351808758341,0.004420179019587743,0.2178963185766945,75380,180,492.23527267141765,492.23527267141765,DoS Hulk
443,48.26712047959136,2744,8,1334873.6646063668,0.0,831,343.0,486.4699943900754,0.0,0.0,0.0,27655.962306075155,57.01603850935379,0.017538924592874768,0.1359458964151767,54880,160,485.0558374296391,485.0558374296391,DoS Hulk
53,0.13204997006879599,3,2,487.5,305.0,275,50.0,162.5,241.0,64.0,152.5,6001.51593814917,37.864453868449026,0.026409994013759198,0.11186472313709284,60,40,158.5,174.35000000000002,BENIGN
783,0.0016963683560536113,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1178.9892170900605,0.0008481841780268056,0.0016963683560536113,40,0,0.0,0.0,PortScan
80,53.87035329416657,739,1,339607.9110804315,175.0,879,335.0,459.5506239248058,350.0,0.0,175.0,6307.419393093629,13.73668362557652,0.07279777472184672,0.13978449692931255,14780,20,459.16609605463714,459.16609605463714,DoS Hulk
443,33.63776389297006,4764,6,1902102.1326252748,180.0,614,203.0,399.2657709121064,60.0,0.0,30.0,56551.97945612645,141.8049075787966,0.007051942115926637,0.30182452900497825,95280,120,398.80128566567606,398.80128566567606,DoS Hulk
62659,0.0823257961557028,44,2,1535.321386648582,0.0,42,0.0,34.89366787837686,0.0,0.0,0.0,18649.33542513003,558.7556045373699,0.001789691220776148,0.07409321654013253,880,40,33.376551883664824,33.376551883664824,DDoS
53,0.001112711493581875,1,0,69.0,0.0,89,49.0,69.0,0.0,0.0,0.0,62010.68327054436,898.7055546455704,0.001112711493581875,0.0006877352027229443,20,0,69.0,75.9,BENIGN
63035,0.06008716935786376,11,2,476.19705088295797,0.0,90,0.0,43.290640989359815,0.0,0.0,0.0,7925.10374464223,216.35234508344595,0.004622089950604905,0.054078452422077386,220,40,36.63054237561215,36.63054237561215,DDoS
53,0.13579332322864993,1,1,133.0,107.0,220,46.0,133.0,173.0,41.0,107.0,1767.3917560430125,14.728264633691772,0.06789666161432496,0.07894926548833493,20,20,120.0,132.0,BENIGN
8080,6.638309602224961,24,16,3324.0,10080.0,277,0.0,138.5,1260.0,0.0,630.0,2019.1887397820951,6.025630378341077,0.16595774005562403,3.5902071062337275,480,320,335.1,368.61000000000007,BENIGN
443,0.534465133717595,42,19,20895.0,3752.5,995,0.0,497.5,341.0,54.0,197.5,46116.19812981747,114.13279585835748,0.00876172350356713,0.39348546050896993,840,380,404.05737704918033,444.4631147540984,BENIGN
28196,0.03952505569421466,24,0,600.8524553709424,0.0,74,20.0,25.035518973789266,40.0,0.0,4.0,15201.81173227012,607.2097705737809,0.0016468773205922775,0.0355725501247932,480,0,25.035518973789266,25.035518973789266,DDoS
123,0.004979373159418009,1,0,118.5,0.0,184,53.0,118.5,0.0,0.0,0.0,23798.17623747852,200.82849145551495,0.004979373159418009,0.004408774733065579,20,0,118.5,130.35000000000002,BENIGN
53,0.05787603741055182,3,1,363.0,173.0,189,53.0,121.0,283.0,63.0,173.0,9261.173086156687,69.11323198624392,0.014469009352637955,0.035918194711125624,60,20,134.0,147.4,BENIGN
53,0.0004635964387931316,1,0,53.0,0.0,62,44.0,53.0,0.0,0.0,0.0,114323.57016799678,2157.0484937357883,0.0004635964387931316,0.00039778330559233927,20,0,53.0,58.300000000000004,BENIGN
80,16.5942554753186,925,4,303443.28472016676,0.0,1199,303.0,328.04679429207215,0.0,0.0,0.0,18286.04393680041,55.98322873730276,0.01786249243844844,0.12190093998951697,18500,80,326.6343215502333,326.6343215502333,DoS Hulk
8080,2.294816038805454,23,25,19723.20747758486,7442.384648510691,2174,205.0,857.5307598949939,344.0,40.0,297.6953859404276,11837.808201931672,20.91670930842281,0.04780866747511362,1.8358528310443631,460,500,565.949835960324,565.949835960324,Web Attack
443,53.11054132772184,1850,4,820725.5021020229,0.0,770,261.0,443.635406541634,0.0,0.0,0.0,15453.156408963825,34.90832429215473,0.02864646242056194,0.35690601024949775,37000,80,442.6782643484481,442.6782643484481,DoS Hulk
41161,0.06828280547669113,43,1,885.5656160326206,0.0,64,20.0,20.594549210060944,0.0,0.0,0.0,12969.086578244289,644.3789134443186,0.0015518819426520712,0.06145452492902202,860,20,20.12649127346865,20.12649127346865,DDoS
63475,0.027342917951040283,17,0,345.2030571084922,0.0,58,40.0,20.306062182852482,40.0,0.0,4.0,12624.953113146386,621.7332045701883,0.001608406938296487,0.024608626155936255,340,0,20.306062182852482,20.306062182852482,DDoS
53,0.1375883903501469,1,2,109.5,143.0,167,52.0,109.5,81.0,62.0,71.5,1835.1839087398005,21.804165252354064,0.045862796783382294,0.1012435860449714,20,40,84.16666666666667,92.58333333333334,BENIGN
443,19.172435081908226,2446,5,1038015.7839107341,0.0,656,246.0,424.3727652946583,0.0,0.0,0.0,54141.050913779945,127.83978610587909,0.007822290935091075,0.4151618231209552,48920,100,423.5070517791653,423.5070517791653,DoS Hulk
80,7.8647158598900955,33,37,28410.75292122124,11605.66704218722,2358,230.0,860.9319067036739,533.0,0.0,313.6666768158708,5088.094811853465,8.90051226859939,0.11235308371271564,6.291772687912077,660,740,571.6631423344065,571.6631423344065,Web Attack
123,0.05004911498394682,2,2,342.0,323.0,275,67.0,171.0,278.0,45.0,161.5,13286.948235014701,79.92149314294556,0.012512278745986705,0.035649057937375474,40,40,166.25,182.87500000000003,BENIGN
53,0.0026449105975840425,1,0,77.5,0.0,105,50.0,77.5,0.0,0.0,0.0,29301.557516080626,378.0846131107178,0.0026449105975840425,0.0013506924220245981,20,0,77.5,85.25,BENIGN
80,18.111509938680186,951,3,319098.5408113819,0.0,906,219.0,335.5400008531881,0.0,0.0,0.0,17618.54985540952,52.673686690394156,0.018984811256478183,0.3512787356838911,19020,60,334.4848436178007,334.4848436178007,DoS Hulk
80,8.70055864110218,17,21,12166.381471377705,7595.97104565277,1593,203.0,715.6694983163355,798.0,40.0,361.7129069358462,2271.3889225079683,4.367535645410717,0.22896206950268896,6.9604469128817446,340,420,520.0619083429073,520.0619083429073,Web Attack
443,4.259300198767988,25,22,17400.0,6292.0,1392,0.0,696.0,532.0,40.0,286.0,5562.416099915418,11.034676544657465,0.09062340848442528,2.7364383320590897,500,440,504.0851063829787,554.4936170212767,BENIGN
443,7.0764250800806945,8,38,1604.0,9367.0,361,40.0,200.5,493.0,0.0,246.5,1550.359097403868,6.500457431462759,0.15383532782784118,4.4560687194095525,160,760,238.5,262.35,BENIGN
45228,0.04658479538470769,44,0,1779.272586129337,0.0,76,20.0,40.438013321121296,0.0,0.0,0.0,38194.27715493231,944.5141840087122,0.0010587453496524474,0.04192631584623692,880,0,40.438013321121296,40.438013321121296,DDoS
53,0.09770783808756192,1,2,71.0,328.0,84,58.0,71.0,273.0,55.0,164.0,4083.6027877562074,30.703780359069228,0.03256927936252064,0.07311873753521878,20,40,133.0,146.3,BENIGN
855,0.0003635871726034762,1,0,20.0,0.0,40,0.0,20.0,0.0,0.0,0.0,55007.44115032837,2750.3720575164184,0.0003635871726034762,0.0003635871726034762,20,0,20.0,20.0,PortScan
80,3.5247030557751073,23,17,4784.0,7777.5,416,0.0,208.0,861.0,54.0,457.5,3563.846315909763,11.348473720207819,0.08811757639437769,1.9632927346095557,460,340,314.0375,345.44125,BENIGN
80,2.7479612137043867,13,11,7676.5,4675.0,1181,0.0,590.5,796.0,54.0,425.0,4494.786876321872,8.733747725517137,0.11449838390434945,1.8145629422705583,260,220,514.6458333333334,566.1104166666668,BENIGN
80,0.10572679854358696,31,31,7006.0,22289.0,412,40.0,226.0,1384.0,54.0,719.0,277082.0681562852,586.4170754630375,0.0017052709442514026,0.08057943782214445,620,620,472.5,519.75,BENIGN
53,0.0032917432592929367,1,0,82.5,0.0,124,41.0,82.5,0.0,0.0,0.0,25062.70796396221,303.79039956317825,0.0032917432592929367,0.00242652714305551,20,0,82.5,90.75000000000001,BENIGN
8080,5.8661941234864265,36,29,23484.084684422072,6736.642481284237,1605,251.0,652.3356856783909,975.0,40.0,232.29801659600818,5151.675265009023,11.080437952054826,0.09024914036132964,4.692955298789141,720,580,464.9342640877894,464.9342640877894,Web Attack
443,2.345252512115035,27,23,11029.5,8958.5,763,54.0,408.5,739.0,40.0,389.5,8522.749638576908,21.319665895979856,0.046905050242300704,1.346186677051159,540,460,399.76,439.73600000000005,BENIGN
80,0.02859713948676683,2,2,337.0,244.0,280,57.0,168.5,183.0,61.0,122.0,20316.717351008294,139.87412978318963,0.007149284871691707,0.022009321116346098,40,40,145.25,159.775,BENIGN
21,1.569745186387261,19,19,608.0,608.0,64,0.0,32.0,64.0,0.0,32.0,774.648019656363,24.207750614261343,0.04130908385229634,0.307366478365213,380,380,32.0,32.0,FTP-Patator
